Tanggal Berita,Judul,Penulis Berita,Isi Berita,Kategori,Link Berita
15 Mei 2020,"Berita Baik, Sudah 53 Pasien Covid-19 di Riau Berhasil Sembuh","Banda Haruddin Tanjung,          Jurnalis&CenterDotJum'at 15 Mei 2020 22:01 WIB","  PEKANBARU - Gugus Tugas Penanganan Covid-19 Riau mengatakan ada penambahan jumlah pasien sembuh. Saat ini jumlah pasien yang sudah dinyatakan sembuh dari corona berjumlah 53 orang di Riau.  ""Ada kabar baik, sekarang ada penambahan empat pasien yang sudah dinyatakan sembuh,"" kata juru bicara Gugus Tugas Penanganan Covid-19 Riau, Indra Yopi Jumat (15/5/2020).   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Dia mengatakan empat pasien corona yang sudah dinyatakan sembuh setelah hasil swab dua kali berturut-turut negatif adalah warga Kota Pekanbaru dan Kota Dumai. Mereka adalah seorang wanita yakni MN (60) dan pria yakni Y (33). Sementara dua warga Pekanbaru yang sembuh adalah seorang lelaki TPS (38) dan seorang wanita berinisial SA (61).  Dengan meningkatnya pasien sembuh, saat ini tersisa hanya 36 pasien positif saja di Riau. Mereka paling banyak dirawat di Kota Pekanbaru, Kota Dumai, Kabupaten Bengkalis dan Kabupaten Inhil. ""Untuk pasien yang meninggal tidak bertambah tetap 6 orang,"" ucapnya.  Dia menjelaskan, bahwa hari ini ada satu penambahan positif corona di Riau. Pasien itu kembali dari Cluster Pondok Pesantren Al-Fatah Magetan, Jawa Timur dimana kemarin juga ada penambahan lima santri. Pasien itu positif itu adalah (19).  ""M merupakan hasil tracing dari Cluster Magetan. Dia merupakan warga Kabupaten Inhil,"" imbuhnya.            (kha)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				             #Berita Baik  #Covid-19  #Corona  #Virus Corona    ",Nusantara,https://news.okezone.com/read/2020/05/15/340/2214789/berita-baik-sudah-53-pasien-covid-19-di-riau-berhasil-sembuh
15 Mei 2020,"Bandara Penuh Sesak, Leony Kesal","Adiyoga Priambodo,          Jurnalis&CenterDotJum'at 15 Mei 2020 20:00 WIB","  JAKARTA - Belum lama ini viral pemberitaan soal penuh sesaknya terminal 2 bandara Soekarno Hatta. Rupanya hal tersebut juga diketahui oleh artis Leony.  Personel Trio Kwek Kwek tersebut mengaku cukup kesal dengan pemberitaan tersebut.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Hal tersebut lantaran ia merasa bahwa apa yang dilakukannya selama ini untuk bertahan di rumah saja demi memutus rantai persebaran virus corona menjadi sia-sia belaka.   Baca Juga: Trio Kwek-Kwek Reuni saat Physical Distancing ""Kita udah lumutan di rumah, tapi situ jalan2 aje? Bodo Amatttt.. Kita bertahan setengah mati di rumah karna kita sayang diri sendiri dan keluarga.. ya kan? 📸 : Self timer HP,"" tulisnya.  Leony mengungkapkan sudah sebulan terakhir ia berada di rumah saja dan tidak beraktifitas di luar rumah.  Leony pun mengaku kesal mendengar berita soal ramainya bandara Soekarno Hatta.   ""Udah sebulan ini mengambil sikap 'bodo amat' biar gak gampang kesel baca news.. jd seperti halnya baca ini juga BODO AMAT!"" tulisnya di Instagram Story.                                                   (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 9   Pesona Kecantikan Artis Naysila Mirdad Naysila Mirdad tampil cantik dengan rambut yang disanggul.              #Leony  #Corona  #Bandara Penuh  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/15/33/2214722/bandara-penuh-sesak-leony-kesal
15 Mei 2020,Doa Sylvester Stallone untuk Nick Cordero Hadapi Koma,"Adiyoga Priambodo,          Jurnalis&CenterDotJum'at 15 Mei 2020 17:47 WIB","  LOS ANGELES - Bintang Broadway Nick Cordero harus berjuang menghadapi koma lantaran menderita kesulitan bernapas karena terinfeksi corona.  Salah satu artis yang memberikan support kepada Nick adalah aktor lawas Sylvester Stallone.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Amanda Kloots, istri Nick Cordero memasang video ucapan dari Sylvester Stallone usai suaminya tersebut siuman setelah koma selama sebulan.  Baca Juga: Anthony Hopkins Tantang Arnold Schwarzenegger dan Sylvester Stallone Main TikTok   Sylvester Stallone memberikan semangat kepada Nick untuk bangkit dan berjuang untuk hidupnya. Stallone mengungkapkan jika Nick adalah sang juara karena berhasil bangkit melawan virus Corona.  ""Aku tahu kau sudah mencapai sejauh mungkin yang kau bisa, kau mendapatkannya dengan perjuangan. Kau memiliki mata seekor harimau, kau memiliki talenta, kau punya kemauan. Kau sudah berhadapan dengan lawan yang sulit dan itu butuh kekuatan. Kekuatan seorang pria dan keluarga untuk mengatasi situasi tersebut. Untuk mengalahkannya dan melemparkannya kembali lalu berkata, 'Bagaimana? Butuh lebih daripada ini untuk mengalahkanku. Aku adalah juaranya.' Dan kau lah juaranya,"" tutur aktor berusia 73 tahun tersebut.                                                          (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 2   Kekhawatiran Sandra Dewi terhadap Virus Korona               #Sylvester Stallone  #Nick Cordero  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/15/33/2214730/doa-sylvester-stallone-untuk-nick-cordero-hadapi-koma
Tidak Ditemukan,"Rasakan Dampak Pandemi, Tukul Arwana Andalkan Pemasukan Kontrakan","Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 17:24 WIB","  JAKARTA - Tukul Arwana menjadi salah saut artis yang merasakan dampak negatif dari pandemi corona. Ia kehilangan banyak tawaran pekerjaan off air lantaran ditunda selama masa pandemi.  Tak tanggung-tanggung, Tukul mengungkapkan setidaknya ada lima pekerjaan yang harus tertunda baik di dalam dan luar kota.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Ada lima (job ditunda) off air di luar Jawa ada tiga, dalam kota ada dua,"" ujar Tukul Arwana saat ditemui di kawasan Tendean, Jakarta Selatan, Rabu (13/5).   Baca Juga: Tata Janeeta Unggah Foto Bareng Tukul, Netizen Ramai Mekipun begitu, Tukul mengaku masih beruntung lantaran ia memiliki kontrakan yang masih berjalan saat ini. Beberapa kebutuhan pokok Tukul pun bisa teratasi dari usaha kontrakan yang ia miliki.  ""Alhamdulillah (kontrakan) lancar. Perputarannya oksigennya di sana. Untuk bayar listrik untuk bayar segalanya di situ. Ya kita tuntut untuk bayar, kewajiban kita memberikan tempat, ya kewajiban dia memberikan (bayaran),"" ungkap Tukul Arwana.  Meskipun begitu, Tukul tak menampik bila beberapa penghuni kontrakan meminta keringanan, namun ia mengaku selektif dalam pemberian keringanan kontrakan.   ""Minta tolong supaya angkanya diiniin (dikurangi). Tapi aku lihat orangnya juga kalau kerjaannya perlu harus dibantu ya. Tapi kalau kayaknya mampu, ya sudah (bayar). Tapi kan dia bekerja secara online bisa juga,"" pungkas Tukul Arwana.                                                      (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Pembacaan Puisi untuk Mengenang Penyair Wiji Tukul Putra penyair Wiji Thukul, Fajar Merah (kanan) bersama musisi yang juga aktivis Melanie Subono menyanyikan sebuah lagu ketika menghadiri pembacaan puisi karya Wiji Tukul di Taman ismail Marzuki, Jakarta, Selasa (24/1/2017). Pembacaan puisi usai menonton film Istirahatlah Kata-Kata yang berkisah tentang Wiji Thukul itu untuk mengenang penyair dan aktivis yang memperjuangkan demokrasi pada masa orde baru.              #Tukul Arwana  #Corona  #Pandemi  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/14/33/2214180/rasakan-dampak-pandemi-tukul-arwana-andalkan-pemasukan-kontrakan
14 Mei 2020,Serunya Isyana Sarasvati Masak Makanan Favorit Suami,"Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 17:06 WIB","  JAKARTA - Lama berdiam diri di rumah membuat penyanyi Isyana Sarasvati menemukan hobi baru. Setelah menjadi ibu rumah tangga, Isyana kini mulai keranjingan memasak.  Awalnya, Isyana mengungkapkan bila dirinya merupakan pencinta makanan, ia kerap mencoba dan mencicipi makanan.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Kini, Isyana justru menjadi seorang juru masak di rumahnya.  Baca Juga: Semangati Suami Isyana Sarasvati, Rara Sekar: Hatiku Hancur   ""Aku yang tadinya sukanya nyicipin makanan, sukanya eksplorasi makanan sekarang kayak bisa meramu dan meracik menu tersebut sendiri gitu,"" ujar Isyana Sarasvati saat live instagram bareng @belialbumfisik.  Rupanya selain bermusik, Isyana juga memiliki cita-cita lainnya, yaitu sebagai juru masak handal. Ia pun mengungkapkan memiliki kecintaan pada dunia kuliner semenjak kecil.  ""Karena memang cita-citaku dari kecil karena aku pencinta makanan, suatu hari gue harus bisa masak sendiri tuh semua dan sekarang aku mulai belajar untuk masak, meracik bumbu-bumbunya sendiri sesuai selera,"" lanjutnya.                                                   				 ""Alhamdulillah selera aku dan suamiku mirip,"" kata Isyana. Isyana pun membeberkan masakan apa saja yang sudah sukses ia masak dan membuat suaminya senang.   ""Chicken steak aku dia suka, tapi dia juga suka scrambled eggs aku sih karena aku racikin dengan beberapa bumbu tertentu gitu jadi dia juga suka. Dia juga suka chicken steak dan pasta aku sama yang terakhir itu kalau mau snack suka dibuatin sandwich,"" tutupnya.     				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 5   Duet Didi Kempot dengan Isyana Sarasvati di BIMA 2020 File Foto: Penyanyi campursari Didi Kempot berduet dengan penyanyi Isyana Sarasvati saat tampil pada ajang penghargaan Billboard Indonesia Music Awards (BIMA) 2020 di Studio RCTI+, Kebon Jeruk, Jakarta Barat, Rabu 26 Februari 2020.              #Isyana Sarasvati  #Corona  #Masak  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/14/33/2214176/serunya-isyana-sarasvati-masak-makanan-favorit-suami
14 Mei 2020,"Tunda Pernikahan, Cita Citata Beruntung Uang Pembayaran Tidak Hangus","Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 16:36 WIB","  JAKARTA - Cita Citata menjadi salah satu artis yang merasakan pil pahit harus menunda pernikahannya lantaran wabah corona. Awalnya, ia merencanakan pernikahan setelah Idul Fitri tahun ini.  Namun karena kondisi pandemi belum berakhir, Cita harus menunda lebih lama lagi.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Cita Citata mengungkapkan bahwa ia sudah membayar lunas wedding organizer yang akan menghandle pernikahannya nanti. Awalnya, Cita Citata berharap uang yang dibayarkan dapat dikembalikan.  Baca Juga: Berbagi 1.000 Masker, Cita Citata Ogah Publikasi Demi Konten   ""Bayangin aja, aku sudah bayar hundred persen ke WO. Kan enggak bisa bilang ke WO-nya 'Eh balikin dong duit gue'. Harusnya habis lebaran ini,"" kata Cita Citata dalam YouTube Ussy dan Andhika Pratama.  Beruntung, pihak organizer memiliki pilihan untuk menunda pernikahan Cita Citata karena pandemi yang diluar dugaan. Cita Citata dijadwalkan akan melangsungkan pernikahan tahun depan.  ""Bisa (menyelamatkan biaya). Untung WO-nya malah jadi teman. Dia bilang 'Ya sudah gue simpan ya duit lo. Mau kapan?' ya sudahlah tahun depan biar aman banget,"" jelas Cita Citata.                                                    				 Selain permasalahan itu, rupanya Cita Citata juga merasakan hikmah dibalik penundaan pernikahannya. Menurutnya masalah dokumen yang belum terselesaikan juga menjadi salah satu dampak positif dari tertundanya pernikahan tersebut. ""Ada dua dokumen yang harus diurus. Pertama adalah keterangan dia sudah tidak residents lagi di Belanda. Yang kedua adalah surat izin nikah yang ada expired-nya,"" ucapnya.   ""Expirednya tiga bulan. Tiga bulan itu setelah dikeluarkan, aku harus cepat menikah. Daripada udah ngambil ke sana terus expired mending ditunda tahun depan,"" tutup Cita Citata.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 6   Potret Kemesraan Cita Citata Bareng Tunangannya Cita Citata bersandar di pundak Roy Geurts.              #Cita Citata  #Corona  #Tunda Pernikahan  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/14/33/2214161/tunda-pernikahan-cita-citata-beruntung-uang-pembayaran-tidak-hangus
14 Mei 2020,"Pandemi Belum Usai, Ayu Ting Ting Terpaksa Tunda Konser","Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 16:29 WIB","  JAKARTA - Ayu Ting Ting awalnya berencana menggelar konser tunggal di Tennis Indoor Senayan, Jakarta pada 28 Maret 2020. Namun rencana tersebut tampaknya harus tertunda lantaran wabah corona yang merajalela.  Ayu mengungkapkan dalam video youtube channel Ussy Sulistiawaty bahwa ia terpaksa menunda konser tersebut.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Iya, benar konser ditunda, betul, Teh. Kan tadinya Teh Ussy mau nonton juga kan,"" kata Ayu Ting Ting dalam video yang diunggah di saluran YouTube Ussy Sulistiawaty.   Baca Juga: Ayu Ting Ting Sampaikan Duka Didi Kempot Meninggal Dunia Meskipun sudah pasti tertunda, namun Ayu Ting Ting belum bisa menentukan kapan konser penggantinya akan digelar. Ia bahkan memprediksi kemungkinan konsernya baru terlaksana tahun depan.  ""Belum tahu sih, Teh, ditunda sampai kapannya. Tapi kayaknya yang jelas kalau misalnya keadaannya biar pasti baik, kayaknya sih tahun depan deh,"" urai Ayu Ting Ting.                                                   				 Menurutnya, kondisi Indonesia khususnya Jakarta saat ini belum memungkinkan untuk mengadakan konser. ""Karena sampai sekarang kan keadaannya masih begini, kita enggak berani juga,"" lanjutnya. Padahal, Ayu mengungkapkan dirinya sudah menjalani persiapan maksimal termasuk melakukan latihan belly dance.   ""Sudah latihan belly dance, banyak deh, sudah kosong lagi otak gue. Nggak ngerti lagi ya Allah ujiannya sampai begini banget. Yang penting sehat aja sudah,"" tutupnya.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 7   Potret Cantiknya Aktris dan Penyanyi Maudy Ayunda Maudy Ayunda merupakan aktris dan penyanyi yang memiliki paras cantik.              #Ayu Ting Ting  #Corona  #konser  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/05/14/205/2214153/pandemi-belum-usai-ayu-ting-ting-terpaksa-tunda-konser
Tidak Ditemukan,Matt Damon Ketakutan Putrinya Sempat Positif Covid-19,"Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 14:04 WIB","  LOS ANGELES - Virus corona memang mampu menyerang siapa saja tanpa pandang bulu. Salah satunya adalah Alexia yang merupakan putri dari Matt Damon.  Matt Damon mengungkapkan dalam sebuah wawancara bagaimana putrinya Alexia Barroso yang tengah kuliah di New York harus ikut terpapar virus corona dan menjalani karantina di New York.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Kumpulkan Donasi untuk Medis, Ben Affleck-Matt Damon Gelar Turnamen Judi   ""Putri tertua kami ada di kampus, dia berada di New York. Ia terinfeksi COVID-19 baru-baru ini, bersama teman kosannya dan kondisinya baik-baiknya,"" ujarnya dalam sebuah wawancara.  Matt Damon mengungkapkan kondisi putrinya baik-baik saja lantaran Alexia masih berusia muda juga memiliki imun yang kuat.                                                  				Namun, hal tersebut belum tentu terjadi bila virus tersebut terpapar pada orang yang lebih tua dengan imunitas rendah. Matt Damon mengaku bila virus tersebut merupakan virus menakutkan bagi orang berusia lanjut. ""Aku pikir kita telah menerima pesannya sekarang, semua orang menjalani isolasi dan sosial distancing dan semua hal untuk mencegah hal ini namun itu tetaplah menakutkan, khususnya untuk orang-orang tua,"" terang aktor berusia 49 tahun itu.   Meskipun begitu, Matt Damon berencana akan mendatangi New York untuk menemui putrinya jika pandemi virus sudah berakhir.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 5   Keri Russell dan Matthew Rhys Hadir Bersama di The Americans Aktor Matthew Rhys dan aktris Keri Russell menghadiri final serial televisi ""The Americans"" di Los Angeles, California, Amerika Serikat, Rabu 30 Mei 2018 waktu setempat. (REUTERS/Mario Anzuoni)              #Matt Damon  #Alexia  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/14/33/2214037/matt-damon-ketakutan-putrinya-sempat-positif-covid-19
13 Mei 2020,"Robert De Niro Ungkap Situasi Lockdown New York, Seperti Kota Hantu","Lintang Tribuana,          Jurnalis&CenterDotRabu 13 Mei 2020 11:17 WIB","  NEW YORK - Amerika Serikat menjadi negara dengan jumlah korban pandemi corona terbesar di dunia. Salah satu kota dengan jumlah korban terbesar adalah New York.  Hingga kini ada lebih dari 82 ribu korban meninggal dunia di Amerika Serikat. Tentu saja hal tersebut menimbulkan kekhawatiran bagi aktor Robert De Niro.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Robert pun mengungkapkan bagaimana situasi kota New York saat ini yang tengah dalam status lockdown.  ""Ini sangat aneh karena New York seperti kota hantu,"" ujar aktor Robert De Niro.   Baca Juga: Robert De Niro Hadiri Pemutaran Perdana The Comedian Bagi Robert, situasi New York saat ini sangat mirip dengan yang terjadi di film-film fiksi yang menjadi kenyataan.  ""Menariknya, yang terlihat sekarang seperti film fiksi ilmiah yang jadi kenyataan,"" imbuhnya.  Rober De Niro juga menyampaikan kritik kepada pemerintahan Amerika di tengah pandemi corona saat ini.   ""Ini mengerikan, dia tampak peduli akan hal ini. Mengetahui ia kembali mencalonkan diri adalah hal yang juga sama mengerikan,"" tukasnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Brad Pitt Terbebas dari Tuduhan KDRT Foto dokumentasi Angelina Jolie dan Brad Pitt pada sebuah acara di Los Angeles, 25 Januari 2009 silam. Pusat Pelayanan Anak dan Keluarga Los Angeles/CDFS menyatakan Brad Pitt tidak bersalah atas tuduhan kekerasan terhadap anaknya, Maddox. (REUTERS/Mario Anzuoni)              #Robert de Niro  #Corona  #New York  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/13/33/2213313/robert-de-niro-ungkap-situasi-lockdown-new-york-seperti-kota-hantu
13 Mei 2020,Bryan Adams Minta Maaf Soal Cuitan Rasis Selama Pandemi,"Lintang Tribuana,          Jurnalis&CenterDotRabu 13 Mei 2020 11:04 WIB","  LOS ANGELES - Belum lama ini Bryan Adams menjadi sasaran nyinyir netizen lantaran mengunggah cuitan bernada rasis di tengah pandemi corona.  Bryan Adams lantas memberikan pernyataan maaf atas cuitannya yang bernada rasis tersebut. Bryan Adams membuat unggahan sambil menampilkan akustik 'Into The Fire', dia minta maaf.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Permintaan maaf untuk semua yang tersinggung karena unggahanku kemarin,"" katanya.  Baca Juga: Bon Jovi Batalkan Tur Bareng Bryan Adams karena Corona  Dilansir CNN, Rabu (13/5/2020), Adams seharusnya saat ini tampil di Royal Albert Hall, London. Namun karena pandemi, banyak pekerjaan Bryan Adams banyak yang tertunda atau dibatalkan.  ""Tidak ada pembelaan. Aku hanya ingin berkeluh kesah soal kekejaman hewan di pasar gelap yang mungkin jadi sumber virus serta mengkampanyekan veganisme,"" tambah Adams  Sebelumnya, cuitan Bryan Adams yang menyalahkan orang yang mengkonsumsi kelelawar akibat penyebab pandemi corona menuai kontroversi.   ""Malam ini seharusnya menjadi awal pertunjukan di Royal Albert Hall tapi terima kasih pada para pemakan kelelawar, pasar penjual hewan yang mengakibatkan virus, kini seluruh dunia terhambat dan ribuan orang menderita dan meninggal akibat virus ini. Selain 'terima kasih banyak', pesanku kepada mereka adalah jadilah vegan,"" demikian bunyi cuitan Bryan Adams yang kini sudah dihapus.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Film Kutuk, Bryan McKenzie Jadi Pemuda yang Sering Beramal untuk Panti Jompo Pemain Film Kutuk, Bryan McKenzie pada sesi pemotretan saat media visit ke Kantor Redaksi Okezone, Jakarta.              #Bryan Adams  #Rasis  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/13/33/2213305/bryan-adams-minta-maaf-soal-cuitan-rasis-selama-pandemi
